time,actual_demand,interconnection,solar,wind,co2emission,renewable_contribution,renewable_percentage,interconnection_status
2026-04-05 14:45:00,3612,1051,418,920,0.0,1338,37.04318936877076,Import
2026-04-05 15:00:00,3596,1050,432,933,0.0,1365,37.95884315906563,Import
2026-04-05 15:15:00,3598,1051,432,961,0.0,1393,38.715953307393,Import
2026-04-05 15:30:00,3585,1051,429,942,0.0,1371,38.24267782426779,Import
2026-04-05 15:45:00,3575,1050,439,907,0.0,1346,37.65034965034965,Import
2026-04-05 16:00:00,3590,1050,445,916,0.0,1361,37.910863509749305,Import
2026-04-05 16:15:00,3655,1050,434,949,0.0,1383,37.83857729138167,Import
2026-04-05 16:30:00,3667,1053,456,942,0.0,1398,38.123806926643034,Import
2026-04-05 16:45:00,3690,1051,489,957,0.0,1446,39.1869918699187,Import
2026-04-05 17:00:00,3698,1051,516,923,0.0,1439,38.91292590589508,Import
2026-04-05 17:15:00,3779,1049,427,1024,0.0,1451,38.396401164329184,Import
2026-04-05 17:30:00,3793,1050,477,1034,0.0,1511,39.83654099657264,Import
2026-04-05 17:45:00,3824,1051,471,1068,0.0,1539,40.24581589958159,Import
2026-04-05 18:00:00,3858,1050,368,1036,460.0,1404,36.39191290824261,Import
2026-04-05 18:15:00,3869,1050,349,891,517.0,1240,32.04962522615663,Import
2026-04-05 18:30:00,3900,1050,270,800,594.0,1070,27.435897435897438,Import
2026-04-05 18:45:00,3934,1050,197,740,633.0,937,23.81799694966955,Import
2026-04-05 19:00:00,3964,1049,141,628,675.0,769,19.39959636730575,Import
2026-04-05 19:15:00,4012,1050,76,555,755.0,631,15.727816550348953,Import
2026-04-05 19:30:00,4025,1050,54,435,808.0,489,12.149068322981368,Import
2026-04-05 19:45:00,4045,982,25,418,808.0,443,10.951792336217553,Import
2026-04-05 20:00:00,4070,1040,7,406,797.0,413,10.147420147420148,Import
2026-04-05 20:15:00,4093,1050,2,451,803.0,453,11.067676520889323,Import
2026-04-05 20:30:00,4157,1050,1,498,821.0,499,12.003848929516478,Import
2026-04-05 20:45:00,4181,1050,1,530,801.0,531,12.700310930399425,Import
2026-04-05 21:00:00,4179,1050,2,529,810.0,531,12.706389088298636,Import
2026-04-05 21:15:00,4135,1040,2,613,819.0,615,14.873035066505441,Import
2026-04-05 21:30:00,4083,1032,2,684,822.0,686,16.80137154053392,Import
2026-04-05 21:45:00,4034,1025,2,696,792.0,698,17.302925136341102,Import
2026-04-05 22:00:00,3995,1005,2,814,794.0,816,20.425531914893615,Import
2026-04-05 22:15:00,3924,964,2,875,788.0,877,22.349643221202854,Import
2026-04-05 22:30:00,3861,952,2,969,740.0,971,25.14892514892515,Import
2026-04-05 22:45:00,3808,928,2,998,725.0,1000,26.260504201680675,Import
2026-04-05 23:00:00,3777,914,2,1095,677.0,1097,29.044214985438177,Import
2026-04-05 23:15:00,3736,813,2,1102,672.0,1104,29.550321199143468,Import
2026-04-05 23:30:00,3697,810,2,1158,662.0,1160,31.376791993508252,Import
2026-04-05 23:45:00,3648,808,2,1228,626.0,1230,33.71710526315789,Import
